"game_id","player","team","seconds","plus.minus","adj.plus.minus"
"0021701099","Jaylen Brown","BOS",1511,24,45.7445400397088
"0021701107","Jaylen Brown","BOS",1501,3,5.75616255829447
"0021701121","Jaylen Brown","BOS",1809,4,6.3681592039801
"0021701140","Jaylen Brown","BOS",1811,0,0
"0021701162","Jaylen Brown","BOS",2165,-2,-2.66050808314088
"0021701171","Jaylen Brown","BOS",1687,-8,-13.6573799644339
"0021701185","Jaylen Brown","BOS",1772,8,13.0022573363431
"0021701202","Jaylen Brown","BOS",1708,7,11.8032786885246
"0021701215","Jaylen Brown","BOS",1919,-6,-9.00468994267848
"0021700001","Jayson Tatum","BOS",2192,7,9.1970802919708
"0021700007","Jayson Tatum","BOS",2185,-16,-21.0892448512586
"0021700019","Jayson Tatum","BOS",1965,-3,-4.3969465648855
"0021700051","Jayson Tatum","BOS",1889,10,15.2461619904711
"0021700067","Jayson Tatum","BOS",1669,7,12.079089275015
"0021700078","Jayson Tatum","BOS",1888,1,1.52542372881356
"0021700092","Jayson Tatum","BOS",2118,11,14.957507082153
"0021700109","Jayson Tatum","BOS",1585,22,39.9747634069401
"0021700129","Jayson Tatum","BOS",1788,2,3.22147651006711
"0021700138","Jayson Tatum","BOS",1639,4,7.02867602196461
"0021700146","Jayson Tatum","BOS",1947,14,20.708782742681
"0021700161","Jayson Tatum","BOS",561,0,0
"0021700170","Jayson Tatum","BOS",1844,4,6.2472885032538
"0021700188","Jayson Tatum","BOS",1980,0,0
"0021700201","Jayson Tatum","BOS",1817,4,6.34012107870116
"0021700215","Jayson Tatum","BOS",1624,-15,-26.6009852216749
"0021700230","Jayson Tatum","BOS",1727,-4,-6.67052692530399
"0021700249","Jayson Tatum","BOS",2263,16,20.362350861688
"0021700257","Jayson Tatum","BOS",2053,4,5.61130053580127
"0021700269","Jayson Tatum","BOS",1314,11,24.1095890410959
"0021700281","Jayson Tatum","BOS",2259,11,14.0239043824701
"0021700292","Jayson Tatum","BOS",2084,-12,-16.5834932821497
"0021700314","Jayson Tatum","BOS",1667,8,13.8212357528494
"0021700326","Jayson Tatum","BOS",1590,7,12.6792452830189
"0021700343","Jayson Tatum","BOS",1956,7,10.3067484662577
"0021700356","Jayson Tatum","BOS",1968,16,23.4146341463415
"0021700374","Jayson Tatum","BOS",2152,-6,-8.02973977695167
"0021700386","Jayson Tatum","BOS",1792,11,17.6785714285714
"0021700391","Jayson Tatum","BOS",1745,-2,-3.30085959885387
"0021700407","Jayson Tatum","BOS",1665,3,5.18918918918919
"0021700423","Jayson Tatum","BOS",1560,-8,-14.7692307692308
"0021700436","Jayson Tatum","BOS",2040,22,31.0588235294118
"0021700442","Jayson Tatum","BOS",1852,5,7.77537796976242
"0021700456","Jayson Tatum","BOS",1685,1,1.70919881305638
"0021700468","Jayson Tatum","BOS",2046,-5,-7.03812316715543
"0021700485","Jayson Tatum","BOS",1965,23,33.7099236641221
